Filename:	C:\Documents and Settings\Bruker\Desktop\EPR Data\Watts\Henry\TEMPO\DLPC LUV 22-06-18\-4_DLPC_LUV.par	 Date: 06/22/2018   Time: 15:27

Slice 1
X [G]	Y []	Intensity
3304.838623	0.000000	-304.317383
3304.936523	0.000000	-156.317383
3305.034180	0.000000	-50.317383
3305.132080	0.000000	-138.317383
3305.229736	0.000000	-184.317383
3305.327393	0.000000	-470.317383
3305.425293	0.000000	-471.317383
3305.522949	0.000000	-434.317383
3305.620605	0.000000	-463.317383
3305.718506	0.000000	-537.317383
3305.816162	0.000000	-377.317383
3305.914063	0.000000	-146.317383
3306.011719	0.000000	-301.317383
3306.109375	0.000000	-354.317383
3306.207275	0.000000	-303.317383
3306.304932	0.000000	-499.317383
3306.402832	0.000000	-537.317383
3306.500488	0.000000	-445.317383
3306.598145	0.000000	-194.317383
3306.696045	0.000000	-165.317383
3306.793701	0.000000	-165.317383
3306.891602	0.000000	-302.317383
3306.989258	0.000000	-63.317383
3307.086914	0.000000	-75.317383
3307.184814	0.000000	-26.317383
3307.282471	0.000000	-34.317383
3307.380371	0.000000	27.682617
3307.478027	0.000000	-43.317383
3307.575684	0.000000	-305.317383
3307.673584	0.000000	-204.317383
3307.771240	0.000000	-118.317383
3307.868896	0.000000	-206.317383
3307.966797	0.000000	-186.317383
3308.064453	0.000000	-87.317383
3308.162354	0.000000	-140.317383
3308.260010	0.000000	-169.317383
3308.357666	0.000000	-85.317383
3308.455566	0.000000	94.682617
3308.553223	0.000000	75.682617
3308.651123	0.000000	107.682617
3308.748779	0.000000	152.682617
3308.846436	0.000000	42.682617
3308.944336	0.000000	47.682617
3309.041992	0.000000	121.682617
3309.139893	0.000000	2.682617
3309.237549	0.000000	73.682617
3309.335205	0.000000	97.682617
3309.433105	0.000000	193.682617
3309.530762	0.000000	196.682617
3309.628662	0.000000	43.682617
3309.726318	0.000000	150.682617
3309.823975	0.000000	277.682617
3309.921875	0.000000	511.682617
3310.019531	0.000000	479.682617
3310.117188	0.000000	641.682617
3310.215088	0.000000	365.682617
3310.312744	0.000000	264.682617
3310.410645	0.000000	485.682617
3310.508301	0.000000	590.682617
3310.605957	0.000000	725.682617
3310.703857	0.000000	746.682617
3310.801514	0.000000	700.682617
3310.899414	0.000000	807.682617
3310.997070	0.000000	625.682617
3311.094727	0.000000	477.682617
3311.192627	0.000000	405.682617
3311.290283	0.000000	337.682617
3311.388184	0.000000	52.682617
3311.485840	0.000000	7.682617
3311.583496	0.000000	72.682617
3311.681396	0.000000	53.682617
3311.779053	0.000000	90.682617
3311.876953	0.000000	150.682617
3311.974609	0.000000	-72.317383
3312.072266	0.000000	-6.317383
3312.170166	0.000000	324.682617
3312.267822	0.000000	773.682617
3312.365479	0.000000	1550.682617
3312.463379	0.000000	2517.682617
3312.561035	0.000000	3726.682617
3312.658936	0.000000	5169.682617
3312.756592	0.000000	6993.682617
3312.854248	0.000000	9093.682617
3312.952148	0.000000	11143.682617
3313.049805	0.000000	13542.682617
3313.147705	0.000000	15952.682617
3313.245361	0.000000	18277.683594
3313.343018	0.000000	20039.683594
3313.440918	0.000000	21425.683594
3313.538574	0.000000	22153.683594
3313.636475	0.000000	21683.683594
3313.734131	0.000000	20283.683594
3313.831787	0.000000	18115.683594
3313.929688	0.000000	14921.682617
3314.027344	0.000000	11081.682617
3314.125244	0.000000	6354.682617
3314.222900	0.000000	1438.682617
3314.320557	0.000000	-3324.317383
3314.418457	0.000000	-8312.317383
3314.516113	0.000000	-12458.317383
3314.613770	0.000000	-15864.317383
3314.711670	0.000000	-18409.316406
3314.809326	0.000000	-20192.316406
3314.907227	0.000000	-21152.316406
3315.004883	0.000000	-20999.316406
3315.102539	0.000000	-20351.316406
3315.200439	0.000000	-18921.316406
3315.298096	0.000000	-17022.316406
3315.395996	0.000000	-14921.317383
3315.493652	0.000000	-12539.317383
3315.591309	0.000000	-10420.317383
3315.689209	0.000000	-8745.317383
3315.786865	0.000000	-7198.317383
3315.884766	0.000000	-5859.317383
3315.982422	0.000000	-4701.317383
3316.080078	0.000000	-3656.317383
3316.177979	0.000000	-2924.317383
3316.275635	0.000000	-2098.317383
3316.373291	0.000000	-1426.317383
3316.471191	0.000000	-1343.317383
3316.568848	0.000000	-1130.317383
3316.666748	0.000000	-1018.317383
3316.764404	0.000000	-1215.317383
3316.862061	0.000000	-1327.317383
3316.959961	0.000000	-1241.317383
3317.057617	0.000000	-1181.317383
3317.155518	0.000000	-1415.317383
3317.253174	0.000000	-1401.317383
3317.350830	0.000000	-1421.317383
3317.448730	0.000000	-1297.317383
3317.546387	0.000000	-1326.317383
3317.644287	0.000000	-1378.317383
3317.741943	0.000000	-1342.317383
3317.839600	0.000000	-1225.317383
